"contract_address","brand_id","is_sponsored","face_value","budget_total","budget_left","outstanding","assigns_180d","redeems_180d","p_upper","cap_face"
"0x00000000000000000000000000000000000134","594","false","5","0","0","0","6867","145","0.02125491337894890086","0"
"0x00000000000000000000000000000000000136","4","false","8","0","0","4","9","0","0.09090909090909090909","0"
"0x00000000000000000000000000000000000138","42","false","5","0","0","1","34207","269","0.00789265982636148382","0"
"0x00000000000000000000000000000000000142","603","false","7","0","0","0","33568","176","0.00527256478999106345","0"
"0x00000000000000000000000000000000000146","51","false","4","0","0","7","11141","148","0.01337162344072511891","0"
"0x00000000000000000000000000000000000148","199","false","5","0","0","0","14041","153","0.01096631773837499110","0"
"0x00000000000000000000000000000000000164","629","false","6","0","0","0","0","0","0.50000000000000000000","0"
"0x00000000000000000000000000000000000173","627","false","8","0","0","0","9371","170","0.01824389203029979729","0"
"0x00000000000000000000000000000000000179","641","false","5","0","0","0","0","0","0.50000000000000000000","0"
"0x00000000000000000000000000000000000180","640","false","8","0","0","0","730","22","0.03142076502732240437","0"
"0x00000000000000000000000000000000000184","637","false","8","0","0","0","785","26","0.03430749682337992376","0"
"0x00000000000000000000000000000000000213","668","false","4","0","0","0","4573","44","0.00983606557377049180","0"
"0x00000000000000000000000000000000000216","671","false","4","0","0","0","4549","36","0.00813008130081300813","0"
"0x00000000000000000000000000000000000219","674","false","8","0","0","0","2831","60","0.02153194493469819979","0"
"0x00000000000000000000000000000000000229","679","false","8","0","0","0","3187","41","0.01317027281279397930","0"
"0x00000000000000000000000000000000000230","680","false","6","0","0","0","787","7","0.01013941698352344740","0"
"0x00000000000000000000000000000000000234","683","false","8","0","0","0","674","24","0.03698224852071005917","0"
"0x00000000000000000000000000000000000263","737","false","4","0","0","0","0","0","0.50000000000000000000","0"
"0x00000000000000000000000000000000000265","739","false","4","0","0","0","0","0","0.50000000000000000000","0"
"0x00000000000000000000000000000000000303","628","false","6","0","0","0","37375","572","0.01533028332932017016","0"
"0x00000000000000000000000000000000000310","833","false","5","0","0","0","2180","38","0.01787351054078826764","0"
"0x00000000000000000000000000000000000311","834","false","6","0","0","0","1242","26","0.02170418006430868167","0"
"0x00000000000000000000000000000000000320","902","false","6","0","0","0","3372","1","0.00059276822762299941","0"
"0x00000000000000000000000000000000000322","903","false","5","0","0","0","5109","53","0.01056544707493641166","0"
"0x00000000000000000000000000000000000324","904","false","5","0","0","0","1679","6","0.00416418798334324807","0"
"0x00000000000000000000000000000000000328","906","false","5","0","0","0","31363","304","0.00972421488920771561","0"
"0x00000000000000000000000000000000000332","909","false","6","0","0","0","23228","98","0.00426173052087817477","0"
"0x00000000000000000000000000000000000337","936","false","6","0","0","0","6788","150","0.02223858615611192931","0"
"0x00000000000000000000000000000000000349","1003","false","5","0","0","0","2","0","0.25000000000000000000","0"
"0x00000000000000000000000000000000000350","1004","false","5","0","0","0","0","0","0.50000000000000000000","0"
"0x00000000000000000000000000000000000414","1923","false","7","0","0","0","763","18","0.02483660130718954248","0"
"0x00000000000000000000000000000000000418","1927","false","5","0","0","0","1","0","0.33333333333333333333","0"
"0x00000000000000000000000000000000000419","1928","false","5","0","0","0","20201","147","0.00732564470623174776","0"
"0x00000000000000000000000000000000000444","2417","false","5","0","0","0","3750","96","0.02585287846481876333","0"
"0x00000000000000000000000000000000000516","556","false","7","0","0","0","4104","160","0.03921091086215294691","0"
"0x00000000000000000000000000000000000517","609","false","10","0","0","0","287","8","0.03114186851211072664","0"
"0x00000000000000000000000000000000000518","633","false","5","0","0","0","118","5","0.05000000000000000000","0"
"0x00000000000000000000000000000000000519","1625","false","5","0","0","0","873","18","0.02171428571428571429","0"
"0x00000000000000000000000000000000000520","560","false","7","0","0","0","1494","55","0.03743315508021390374","0"
"0x00000000000000000000000000000000000521","626","false","5","0","0","0","3842","99","0.02601456815816857440","0"
"0x00000000000000000000000000000000000522","635","false","6","0","0","0","772","41","0.05426356589147286822","0"
"0x00000000000000000000000000000000000523","664","false","4","0","0","0","164","12","0.07831325301204819277","0"
"0x00000000000000000000000000000000000524","667","false","5","0","0","0","58","3","0.06666666666666666667","0"
"0x00000000000000000000000000000000000525","669","false","8","0","0","0","87","10","0.12359550561797752809","0"
