user_id,contract_address,score
sms|65e0f62b6ae919be223b0b0a,0x00000000000000000000000000000000000587,0.000579
sms|65ea08886ae919be22a77f41,0x00000000000000000000000000000000000587,0.000204
sms|65fa2ac25138e88aecee1cc9,0x00000000000000000000000000000000000587,0.000382
sms|6700461b97085fb88aa52bb5,0x00000000000000000000000000000000000587,0.001465
sms|67a5800d245db3e9383c7d41,0x00000000000000000000000000000000000587,0.000203
sms|67b614cc245db3e9387beea3,0x00000000000000000000000000000000000587,0.000253
sms|680290dd4af4e686002066dc,0x00000000000000000000000000000000000587,0.000194
sms|681ad2b52e2ce2ea0223bb35,0x00000000000000000000000000000000000587,0.000218
sms|66381073afdca2dc9783f1eb,0x00000000000000000000000000000000000587,0.003261
sms|663d3efbafdca2dc972be146,0x00000000000000000000000000000000000587,0.002304
sms|666f9b444d6bdfd0344adc93,0x00000000000000000000000000000000000587,0.000232
sms|672d47cbf8d55643c8fd34e7,0x00000000000000000000000000000000000587,0.002648
sms|6732910df8d55643c8285b37,0x00000000000000000000000000000000000587,0.000898
sms|675ca8c4321a96e88e00da0c,0x00000000000000000000000000000000000587,0.000205
sms|67f952cd4af4e6860054cff5,0x00000000000000000000000000000000000587,0.001264
sms|6311571129e07b62594ab88a,0x00000000000000000000000000000000000596,0.002463
sms|63227ec28c0fd6e8f8ead1b7,0x00000000000000000000000000000000000596,0.001419
sms|6323d2f68c0fd6e8f8e79802,0x00000000000000000000000000000000000596,0.005073
sms|6331f9156351f0309c65f99e,0x00000000000000000000000000000000000596,0.003917
sms|6333596b6351f0309ca17dda,0x00000000000000000000000000000000000596,0.002865
sms|633363bf6351f0309caa924c,0x00000000000000000000000000000000000596,0.00193
sms|633ca4a73cd3c86738d1be63,0x00000000000000000000000000000000000596,0.002243
sms|633dc6cb3cd3c867381387bc,0x00000000000000000000000000000000000596,0.002932
sms|6349cd083cd3c867385cf1c7,0x00000000000000000000000000000000000596,0.002871
sms|635dbd490537bad1dca03d13,0x00000000000000000000000000000000000596,0.010119
sms|636024c00537bad1dcfb9926,0x00000000000000000000000000000000000596,0.005591
sms|6362e1b50537bad1dc36a129,0x00000000000000000000000000000000000596,0.003916
sms|636801d70537bad1dc7f0f00,0x00000000000000000000000000000000000596,0.002905
sms|637452b40537bad1dc6bebe8,0x00000000000000000000000000000000000596,0.004253
sms|637d53380537bad1dcdf27d8,0x00000000000000000000000000000000000596,0.003784
sms|638570960537bad1dcf5616d,0x00000000000000000000000000000000000596,0.009826
sms|638571cb0537bad1dcf75710,0x00000000000000000000000000000000000596,0.003776
sms|638586cb0537bad1dc18a3ef,0x00000000000000000000000000000000000596,0.002748
sms|6386167e0537bad1dcffaf18,0x00000000000000000000000000000000000596,0.003174
sms|63861fc30537bad1dc14d9e7,0x00000000000000000000000000000000000596,0.001864
sms|6386209b0537bad1dc16ca39,0x00000000000000000000000000000000000596,0.001588
sms|638639250537bad1dc51be33,0x00000000000000000000000000000000000596,0.001784
sms|638639a20537bad1dc52df99,0x00000000000000000000000000000000000596,0.00236
sms|63864b110537bad1dc7cd1c9,0x00000000000000000000000000000000000596,0.001817
sms|638652d10537bad1dc8e27a0,0x00000000000000000000000000000000000596,0.002275
sms|63865c060537bad1dca16824,0x00000000000000000000000000000000000596,0.001797
sms|638661160537bad1dcac6cb9,0x00000000000000000000000000000000000596,0.002086
sms|6386617b0537bad1dcad4452,0x00000000000000000000000000000000000596,0.001504
sms|638665120537bad1dcb4e342,0x00000000000000000000000000000000000596,0.007007
sms|638666020537bad1dcb6d016,0x00000000000000000000000000000000000596,0.003018
sms|6386687b0537bad1dcbbf133,0x00000000000000000000000000000000000596,0.004581
sms|638675e70537bad1dcd96548,0x00000000000000000000000000000000000596,0.003085
sms|63867e130537bad1dceae712,0x00000000000000000000000000000000000596,0.003953
sms|6386869e0537bad1dcfcc9da,0x00000000000000000000000000000000000596,0.002724
sms|6386aa5e0537bad1dc3d048f,0x00000000000000000000000000000000000596,0.002048
sms|6386dec00537bad1dc903f48,0x00000000000000000000000000000000000596,0.002745
sms|6386edc10537bad1dca71eaf,0x00000000000000000000000000000000000596,0.002155
sms|63878e270537bad1dcc8d433,0x00000000000000000000000000000000000596,0.003608
sms|63879c9f0537bad1dce92224,0x00000000000000000000000000000000000596,0.002756
sms|63879df10537bad1dcebd1ec,0x00000000000000000000000000000000000596,0.012386
sms|6387e6ae0537bad1dc8a471f,0x00000000000000000000000000000000000596,0.171196
sms|638802fc0537bad1dcb987b0,0x00000000000000000000000000000000000596,0.001684
sms|6388c9010537bad1dc0319ff,0x00000000000000000000000000000000000596,0.001631
sms|6388d12b0537bad1dc15d18c,0x00000000000000000000000000000000000596,0.002826
sms|6388e89b0537bad1dc496d34,0x00000000000000000000000000000000000596,0.001814
sms|63891dce0537bad1dcc293d5,0x00000000000000000000000000000000000596,0.003275
sms|63891f2e0537bad1dcc5b1d1,0x00000000000000000000000000000000000596,0.001405
sms|638a5b610537bad1dce6b75c,0x00000000000000000000000000000000000596,0.002482
sms|638a6b970537bad1dc05f410,0x00000000000000000000000000000000000596,0.003734
sms|638bfe4b58981bb9263c61ec,0x00000000000000000000000000000000000596,0.00419
sms|638c148458981bb926570f28,0x00000000000000000000000000000000000596,0.005622
sms|638c185058981bb9265b7979,0x00000000000000000000000000000000000596,0.005275
sms|638d009b58981bb92672c1b6,0x00000000000000000000000000000000000596,0.007451
sms|638d3c7c58981bb926c4e6db,0x00000000000000000000000000000000000596,0.00459
sms|638e202f58981bb9263890d1,0x00000000000000000000000000000000000596,0.001471
sms|638e287358981bb9264e4aad,0x00000000000000000000000000000000000596,0.001732
sms|638e29aa58981bb9265115b9,0x00000000000000000000000000000000000596,0.003464
sms|638e2f6258981bb9265dc194,0x00000000000000000000000000000000000596,0.001456
sms|638e322458981bb92663f831,0x00000000000000000000000000000000000596,0.003461
sms|638e425558981bb92688c5d7,0x00000000000000000000000000000000000596,0.001757
sms|638e4e3058981bb926a5f545,0x00000000000000000000000000000000000596,0.002776
sms|638ece8058981bb9269c06c1,0x00000000000000000000000000000000000596,0.001677
sms|638fafbe58981bb9260dbba3,0x00000000000000000000000000000000000596,0.003557
sms|638fc95c58981bb9265afced,0x00000000000000000000000000000000000596,0.002
sms|638ff58f58981bb926d0a9c2,0x00000000000000000000000000000000000596,0.002746
sms|6390d2a458981bb926d40eea,0x00000000000000000000000000000000000596,0.008494
sms|6390d7ad58981bb926e2bec3,0x00000000000000000000000000000000000596,0.004869
sms|639122ab58981bb926b5a060,0x00000000000000000000000000000000000596,0.002851
sms|6391301458981bb926d77c52,0x00000000000000000000000000000000000596,0.003668
sms|6391308858981bb926d89b9c,0x00000000000000000000000000000000000596,0.020008
sms|63915fb758981bb9263fa27e,0x00000000000000000000000000000000000596,0.0047
sms|63917ab758981bb92674a923,0x00000000000000000000000000000000000596,0.001583
sms|6391edf558981bb9263d3d18,0x00000000000000000000000000000000000596,0.069738
sms|63922b4358981bb926e3d5bb,0x00000000000000000000000000000000000596,0.006479
sms|639251c958981bb92648902b,0x00000000000000000000000000000000000596,0.002026
sms|63928b6858981bb926cc4301,0x00000000000000000000000000000000000596,0.008169
sms|63936f1a58981bb9269accb8,0x00000000000000000000000000000000000596,0.002737
sms|63936fe158981bb9269ca994,0x00000000000000000000000000000000000596,0.012508
sms|639374fb58981bb926a83bc5,0x00000000000000000000000000000000000596,0.005082
sms|6393981258981bb926fb5c0a,0x00000000000000000000000000000000000596,0.004391
sms|6393d16658981bb926761b2a,0x00000000000000000000000000000000000596,0.00238
sms|6393f3ac58981bb926afe366,0x00000000000000000000000000000000000596,0.005007
sms|6394c6e958981bb926ea1850,0x00000000000000000000000000000000000596,0.002052
sms|6394c70658981bb926ea4c64,0x00000000000000000000000000000000000596,0.002633
sms|6394c84758981bb926ec952d,0x00000000000000000000000000000000000596,0.004429
sms|63956de258981bb926040c4d,0x00000000000000000000000000000000000596,0.006277
sms|6396231d58981bb9260e1e08,0x00000000000000000000000000000000000596,0.004852
sms|63966f2a58981bb926b1527f,0x00000000000000000000000000000000000596,0.003787
sms|6397e17c58981bb9265fef39,0x00000000000000000000000000000000000596,0.004885
sms|6397e18758981bb926600b4e,0x00000000000000000000000000000000000596,0.008623
sms|6398cfa258981bb926a4e597,0x00000000000000000000000000000000000596,0.001674
sms|639bb67758981bb926668e1a,0x00000000000000000000000000000000000596,0.001424
sms|63a32eea58981bb926b6dc3e,0x00000000000000000000000000000000000596,0.01177
sms|63aa12ae58981bb9268f814b,0x00000000000000000000000000000000000596,0.001504
sms|63ab85a81de74a36a21bfee2,0x00000000000000000000000000000000000596,0.00389
sms|63b95a4a54f56065ece9c3aa,0x00000000000000000000000000000000000596,0.004017
sms|63b95b3154f56065eceb9972,0x00000000000000000000000000000000000596,0.002453
sms|63b9a66354f56065ec98929f,0x00000000000000000000000000000000000596,0.002287
sms|63b9e7ce54f56065ec3f7188,0x00000000000000000000000000000000000596,0.001633
sms|63ba65e954f56065ec7bb50e,0x00000000000000000000000000000000000596,0.009279
sms|63ba837d54f56065ecbd5dfc,0x00000000000000000000000000000000000596,0.001738
sms|63ba850454f56065ecc0e330,0x00000000000000000000000000000000000596,0.029047
sms|63c14f9154f56065ecd9be05,0x00000000000000000000000000000000000596,0.001593
sms|63c2d31454f56065ec70140f,0x00000000000000000000000000000000000596,0.002197
sms|63c3031f54f56065ec15543b,0x00000000000000000000000000000000000596,0.003146
sms|63c591fea3f808a59af91618,0x00000000000000000000000000000000000596,0.001605
sms|63c5fd6da3f808a59ab52c43,0x00000000000000000000000000000000000596,0.001692
sms|63c6f28aa3f808a59a733722,0x00000000000000000000000000000000000596,0.003711
sms|63c70e0fa3f808a59af33a25,0x00000000000000000000000000000000000596,0.005075
sms|63c878d7a3f808a59ab776d6,0x00000000000000000000000000000000000596,0.00257
sms|63c997cf791578e6038439dc,0x00000000000000000000000000000000000596,0.008259
sms|63cc75a379c76397892308d4,0x00000000000000000000000000000000000596,0.001483
sms|63d1359b79c7639789d3644a,0x00000000000000000000000000000000000596,0.003969
sms|63d16fc779c76397898b8f36,0x00000000000000000000000000000000000596,0.003557
sms|63d16fd679c76397898bf783,0x00000000000000000000000000000000000596,0.002087
sms|63d16ff979c76397898d0410,0x00000000000000000000000000000000000596,0.008087
sms|63d171ac79c7639789991208,0x00000000000000000000000000000000000596,0.002633
sms|63d171f579c76397899b0a98,0x00000000000000000000000000000000000596,0.00561
sms|63d173f479c7639789aa224e,0x00000000000000000000000000000000000596,0.005285
sms|63d1773179c7639789c1c0ef,0x00000000000000000000000000000000000596,0.001445
sms|63d177f079c7639789c7143f,0x00000000000000000000000000000000000596,0.004676
sms|63d1783079c7639789c8f0c0,0x00000000000000000000000000000000000596,0.001842
sms|63d1788679c7639789cb5ccd,0x00000000000000000000000000000000000596,0.002295
sms|63d1798c79c7639789d2b143,0x00000000000000000000000000000000000596,0.004567
sms|63d17c2879c7639789e5d668,0x00000000000000000000000000000000000596,0.003865
sms|63d1816679c76397890cdb90,0x00000000000000000000000000000000000596,0.002448
sms|63d182ca79c763978917e99c,0x00000000000000000000000000000000000596,0.001692
sms|63d1877479c76397893bb1f6,0x00000000000000000000000000000000000596,0.017226
sms|63d1888479c763978943a3f4,0x00000000000000000000000000000000000596,0.002872
sms|63d1893c79c763978948fa70,0x00000000000000000000000000000000000596,0.004208
sms|63d1898c79c76397894b5ab4,0x00000000000000000000000000000000000596,0.012165
sms|63d1899779c76397894bbdf9,0x00000000000000000000000000000000000596,0.002628
sms|63d189f279c76397894e6bed,0x00000000000000000000000000000000000596,0.001761
sms|63d18cbe79c763978964634f,0x00000000000000000000000000000000000596,0.037925
sms|63d18cd279c7639789650ab5,0x00000000000000000000000000000000000596,0.004292
sms|63d18e7779c76397897217c7,0x00000000000000000000000000000000000596,0.011019
sms|63d1902779c7639789803679,0x00000000000000000000000000000000000596,0.010405
sms|63d190aa79c7639789840054,0x00000000000000000000000000000000000596,0.00153
sms|63d191d279c76397898caa17,0x00000000000000000000000000000000000596,0.002123
sms|63d1921679c76397898ebb2e,0x00000000000000000000000000000000000596,0.005165
sms|63d1940479c76397899df0ea,0x00000000000000000000000000000000000596,0.010206
sms|63d1978e79c7639789babf9a,0x00000000000000000000000000000000000596,0.002902
sms|63d1998b79c7639789cae1e0,0x00000000000000000000000000000000000596,0.002844
sms|63d19d3179c7639789e8044b,0x00000000000000000000000000000000000596,0.012412
sms|63d1a5ad79c76397892b34e9,0x00000000000000000000000000000000000596,0.002357
sms|63d1aa6f79c763978950709b,0x00000000000000000000000000000000000596,0.001955
