"contract_address","brand_id","is_sponsored","face_value","budget_total","budget_left","outstanding","assigns_180d","redeems_180d","p_upper","cap_face"
"0x00000000000000000000000000000000000134","594","false","5","0","0","0","6867","145","0.024793277758357617508483640703324172755600","0"
"0x00000000000000000000000000000000000136","4","false","8","0","0","4","9","0","0.299152753550959381986042713535855218606697","0"
"0x00000000000000000000000000000000000138","42","false","5","0","0","1409","34207","258","0.008516097879776671557110687627745725298396","0"
"0x00000000000000000000000000000000000142","603","false","7","0","0","144","33568","176","0.006074314283123901101445481507240214040265","0"
"0x00000000000000000000000000000000000146","51","false","4","0","0","1652","11141","142","0.015003078086514762970855906823235081426015","0"
"0x00000000000000000000000000000000000148","199","false","5","0","0","0","14041","153","0.012752625032690910119558989864241207907927","0"
"0x00000000000000000000000000000000000164","629","false","6","0","0","0","0","0","0.97","0"
"0x00000000000000000000000000000000000173","627","false","8","0","0","89","9371","170","0.021047391127534719966405765259726980677931","0"
"0x00000000000000000000000000000000000179","641","false","5","0","0","0","0","0","0.97","0"
"0x00000000000000000000000000000000000180","640","false","8","0","0","94","730","21","0.043576872525649717501393173826946136083445","0"
"0x00000000000000000000000000000000000184","637","false","8","0","0","124","785","25","0.046591019995310827772073562637292807966825","0"
"0x00000000000000000000000000000000000213","668","false","4","0","0","0","4573","44","0.012891219993919015016051757046887770095615","0"
"0x00000000000000000000000000000000000216","671","false","4","0","0","0","4549","36","0.010936163310120254576556047880149497930189","0"
"0x00000000000000000000000000000000000219","674","false","8","0","0","0","2831","60","0.027184399580133273099145915060925908551057","0"
"0x00000000000000000000000000000000000229","679","false","8","0","0","103","3187","40","0.017044954475269658860759152285145113969887","0"
"0x00000000000000000000000000000000000230","680","false","6","0","0","106","787","7","0.018245260241328178977440512870214454376621","0"
"0x00000000000000000000000000000000000234","683","false","8","0","0","88","674","23","0.050685043311029977793973271676368311629560","0"
"0x00000000000000000000000000000000000263","737","false","4","0","0","0","0","0","0.97","0"
"0x00000000000000000000000000000000000265","739","false","4","0","0","0","0","0","0.97","0"
"0x00000000000000000000000000000000000303","628","false","6","0","0","866","37375","561","0.016293564186783270855555230251326208199749","0"
"0x00000000000000000000000000000000000310","833","false","5","0","0","0","2180","38","0.023834300251608574463135391236117577725262","0"
"0x00000000000000000000000000000000000311","834","false","6","0","0","157","1242","21","0.025710475664191406554090170702055994263542","0"
"0x00000000000000000000000000000000000320","902","false","6","0","0","117","3372","1","0.001678062266639261331787471838165481854653","0"
"0x00000000000000000000000000000000000322","903","false","5","0","0","127","5109","52","0.013321952387826507125217934459400575638974","0"
"0x00000000000000000000000000000000000324","904","false","5","0","0","0","1679","6","0.007774833374744318902996022536832170091984","0"
"0x00000000000000000000000000000000000328","906","false","5","0","0","100","31363","304","0.010838921809326036902132122526674096633366","0"
"0x00000000000000000000000000000000000332","909","false","6","0","0","738","23228","96","0.005043986377971851973435760401866238217250","0"
"0x00000000000000000000000000000000000337","936","false","6","0","0","75","6788","150","0.025874671956963901161419255993283201413010","0"
"0x00000000000000000000000000000000000349","1003","false","5","0","0","0","2","0","0.657628047110380717611613256642015886058614","0"
"0x00000000000000000000000000000000000350","1004","false","5","0","0","0","0","0","0.97","0"
"0x00000000000000000000000000000000000414","1923","false","7","0","0","100","763","18","0.036981852150591681477709059726766199825550","0"
"0x00000000000000000000000000000000000418","1927","false","5","0","0","0","1","0","0.793456708526107072042300066093853271645737","0"
"0x00000000000000000000000000000000000419","1928","false","5","0","0","0","20201","147","0.008546253629725314332084188482934371515524","0"
"0x00000000000000000000000000000000000444","2417","false","5","0","0","618","3750","92","0.029992609792936171724134772764246388838662","0"
"0x00000000000000000000000000000000000516","556","false","7","0","0","663","4104","155","0.044046077180036073579371292455925520846267","0"
"0x00000000000000000000000000000000000517","609","false","10","0","0","36","287","8","0.054030728248193251210554707940831676041316","0"
"0x00000000000000000000000000000000000518","633","false","5","0","0","0","118","5","0.095370681022653688335110213891585668537224","0"
"0x00000000000000000000000000000000000519","1625","false","5","0","0","137","873","18","0.032356349340983906713688329550228199842036","0"
"0x00000000000000000000000000000000000520","560","false","7","0","0","167","1494","51","0.044604497507960941370043831086668510074008","0"
"0x00000000000000000000000000000000000521","626","false","5","0","0","652","3842","97","0.030702218359216527928943387853932881327681","0"
"0x00000000000000000000000000000000000522","635","false","6","0","0","95","772","40","0.069786649687308379221742198757976760967820","0"
"0x00000000000000000000000000000000000523","664","false","4","0","0","0","164","12","0.123531333272623135003979968235719215731771","0"
"0x00000000000000000000000000000000000524","667","false","5","0","0","0","58","3","0.141396253350191862120099050522476766655025","0"
"0x00000000000000000000000000000000000525","669","false","8","0","0","0","87","10","0.198807651972501015978994842556474409363533","0"
"0x00000000000000000000000000000000000530","47","false","10","0","0","859","5263","323","0.068181713265049388342346172604289080637789","0"
"0x00000000000000000000000000000000000531","135","false","5","0","0","665","4270","142","0.039066830517819930372285750069419148049976","0"
"0x00000000000000000000000000000000000532","529","false","5","0","0","122","745","13","0.029624859061647494586961077804473960012516","0"
"0x00000000000000000000000000000000000533","661","false","4","0","0","1546","9938","162","0.018984189797928851764379137912172146296147","0"
"0x00000000000000000000000000000000000534","673","false","10","0","0","665","4279","166","0.045005950318360177208784021060200421223060","0"
"0x00000000000000000000000000000000000535","686","false","5","0","0","0","133","8","0.114206030241989969284625813242821892268876","0"
"0x00000000000000000000000000000000000536","778","false","5","0","0","634","3755","31","0.011694272620370659626854082906574308636232","0"
"0x00000000000000000000000000000000000537","835","false","10","0","0","775","4722","149","0.036933818844031747949666580402144459221855","0"
"0x00000000000000000000000000000000000540","908","false","10","0","0","765","4401","109","0.029789922423080981530879233794221087400360","0"
"0x00000000000000000000000000000000000542","938","false","6","0","0","629","3826","66","0.021886652829611366438701256803533749045564","0"
"0x00000000000000000000000000000000000543","8153","false","10","0","0","0","0","0","0.97","0"
"0x00000000000000000000000000000000000547","682","false","5","0","0","101","770","12","0.027041471535634006306446640231558192634183","0"
"0x00000000000000000000000000000000000550","688","false","7","0","0","63","519","24","0.067884540128273606684004548976236189406588","0"
"0x00000000000000000000000000000000000551","695","false","6","0","0","207","1443","26","0.026270312804469075783227317532522886704990","0"
"0x00000000000000000000000000000000000557","638","false","4","0","0","0","50","4","0.188385025450637055854199315924032702451201","0"
"0x00000000000000000000000000000000000558","740","false","5","0","0","0","81","2","0.085628911971342784072206461291653098279773","0"
"0x00000000000000000000000000000000000559","837","false","7","0","0","0","71","9","0.223693188749684247780420110937293022168598","0"
"0x00000000000000000000000000000000000560","905","false","6","0","0","750","4202","58","0.017801019411270377447689627733683425921390","0"
"0x00000000000000000000000000000000000561","625","false","4","0","0","189","1283","17","0.021117572696897202778272424567922844858410","0"
"0x00000000000000000000000000000000000564","676","false","5","0","0","603","3394","25","0.010851530645703632675729068299284648481969","0"
"0x00000000000000000000000000000000000566","8152","false","10","0","0","833","5681","319","0.062444073857580183403133881904926880583198","0"
"0x00000000000000000000000000000000000569","4694","false","10","0","0","722","4610","302","0.073020144673720628382348862534294681009680","0"
"0x00000000000000000000000000000000000570","7545","false","10","0","0","848","5489","178","0.037451396426270034883966573132218772052615","0"
"0x00000000000000000000000000000000000572","49","false","5","0","0","110","764","23","0.044768652416928936521368609528352997400487","0"
"0x00000000000000000000000000000000000580","3407","false","10","0","0","0","0","0","0.97","0"
"0x00000000000000000000000000000000000581","2255","false","10","0","0","0","0","0","0.97","0"
"0x00000000000000000000000000000000000583","5394","false","10","0","0","0","2","2","0.97","0"
